sample,PC1,PC2,PC3,PC4,PC5,PC6,PC7,Pop_broad,Pop_geoLoc2
ANN1273,0.075734604,0.057381677,-0.128178862,-0.06132656,-0.052836034,0.001639666,-0.043049522,Wild,CA_NV_AZ
ANN1284,0.058568508,0.054566918,-0.127651529,-0.059730218,-0.058326837,-0.003856824,-0.036538976,Wild,CA_NV_AZ
ANN1296,0.057614168,0.021651759,-0.046778522,-0.042951583,0.097718939,-0.006645561,-0.050013009,Wild,CO_UT_NM
ANN1297,0.048095943,0.017519515,-0.042954717,-0.042522553,0.094081213,-0.007748786,-0.064173198,Wild,CO_UT_NM
ANN1300,0.030679705,0.020321186,-0.046378939,-0.036775871,0.084150183,-0.008838444,-0.042417697,Wild,CO_UT_NM
ANN1301,0.065165199,0.009700758,-0.023918083,-0.036481648,0.155769019,-0.005782289,-0.145640553,Wild,CO_UT_NM
ANN1309,0.058458663,0.009894783,-0.031069122,-0.038748779,0.163411757,-0.007465057,-0.150396255,Wild,CO_UT_NM
ANN1310,0.088260205,0.011517646,-0.029978599,-0.039504237,0.175321459,-0.00340737,-0.169490163,Wild,CO_UT_NM
ANN1311,0.066473179,0.02831848,0.007062052,-0.078803111,0.09193533,0.027311425,0.020574826,Wild,TX
ANN1316,0.070602139,0.027973156,0.008598118,-0.082217166,0.095181217,0.029524902,0.021301063,Wild,TX
ANN1319,0.076259651,0.025814857,0.010702514,-0.076474126,0.09491842,0.025575557,0.019536685,Wild,TX
ANN1322,0.05478851,0.022881691,0.009427129,-0.059157777,0.056042597,0.01264748,0.009584709,Wild,TX
ANN1328,0.046347264,0.0204651,0.009121841,-0.060246386,0.048268171,0.008384169,0.01553216,Wild,TX
ANN1330,0.048250836,0.025654552,0.002689633,-0.062040893,0.05275391,0.018290127,0.021944262,Wild,TX
ANN1419,9.77E-05,-0.043845981,0.056079328,-0.000810631,-0.059401469,-0.002631949,-0.07380015,Wild,IA
ANN1420,-0.006392119,-0.033228795,0.033401793,-0.00063392,-0.028691945,-0.003524762,-0.031813956,Wild,IA
ANN1439,0.009446808,-0.025569167,0.053779155,-0.021874439,-0.023250444,-0.012647668,-0.001375503,Wild,KS
ANN1501,-0.046341024,-0.04764904,-0.010585897,0.119758063,-0.015558673,0.01146301,-0.04842929,Wild,SK_MB
ann20_seAZ,-0.071257396,0.027143737,-0.061807622,-0.031552155,0.022895335,-0.00094032,-0.003487642,Wild,CA_NV_AZ
ann28_swSK,-0.086746293,-0.008555498,-0.03623856,0.026519851,0.019001816,0.003533626,0.010444358,Wild,SK_MB
ann29_neSD,-0.051575308,-0.027798402,-0.006130007,0.044028475,-0.005828604,0.002707711,-0.01614402,Wild,ND_SD
ann34_cwKS,-0.038029688,-0.000256906,-0.003814232,-0.016752063,0.013494407,0.00023862,0.027837428,Wild,KS
ann39_ncNE,-0.071438731,0.000920537,-0.039457988,0.004946563,0.000257144,0.00219104,0.006777972,Wild,NB
Anzac_Pueblo,-0.163723538,0.01985098,-0.069728753,-0.065632938,0.051757814,0.014777552,0.013519747,Landrace,Landrace
ARG0054,0.021713461,0.189580766,0.077771951,0.041678288,-0.025899591,0.528903676,-0.018710578,Arg,Argophyllus
ARG0169,0.020960924,0.186977774,0.077458033,0.040933433,-0.023027407,0.510790175,-0.01683054,Arg,Argophyllus
ARG0204,0.029834902,0.195644641,0.079937815,0.042870148,-0.024768214,0.545129702,-0.017414476,Arg,Argophyllus
Ari_Broad,-0.129058341,0.004026243,-0.052203948,-0.028430523,0.036869631,0.00978889,0.008583598,Ethnographic,Ethnographic
Ari_Man,-0.073002042,-0.018249725,-0.015002432,-0.000813845,0.006073551,0.005640417,-0.012175139,Ethnographic,Ethnographic
Arikara,-0.136540416,0.012557419,-0.052891499,-0.044455664,0.038318186,0.009478892,0.008114086,Landrace,Landrace
Arikara_122976,-0.034824376,0.004835586,-0.010294376,-0.005453523,0.005892487,0.000254131,0.003275031,Ethnographic,Ethnographic
Arikara_126306,-0.064474501,0.007798338,-0.020779553,-0.011114699,0.01250079,0.001034614,0.005824511,Ethnographic,Ethnographic
Arikara_14042_874,-0.06756875,0.008220827,-0.021363646,-0.01013114,0.012679427,0.00145362,0.006465184,Ethnographic,Ethnographic
Havasupai,-0.089518604,0.005128937,-0.032755615,-0.072325521,0.037885611,0.011880049,-0.020051726,Landrace,Landrace
Hidatsa,-0.173696786,0.023377133,-0.070856072,-0.061934598,0.051815799,0.01384371,0.017612517,Landrace,Landrace
Hopi_dye_NEW,-0.070365712,0.000480082,-0.0224391,-0.071559301,0.032038913,0.013413133,-0.029959,Landrace,Landrace
Hopi_mapping_NEW,-0.049423997,-0.001622038,-0.019503268,-0.08200569,0.034747194,0.015264822,-0.034403371,Landrace,Landrace
Hopi_real_NEW,-0.162794918,0.020709629,-0.071664292,-0.06773588,0.051600301,0.015917991,0.0138612,Landrace,Landrace
IA1W_1,-0.032869785,-0.035051808,0.034375722,-0.002709076,-0.036211577,-0.003551088,-0.051477264,Wild,IA
IA1W_11,-0.028233606,-0.032454274,0.028061895,-0.000971999,-0.034502671,-0.001150589,-0.047833444,Wild,IA
IA1W_11R,0.02988602,-0.046156086,0.0550241,-0.000347608,-0.053645473,0.000414477,-0.06920465,Wild,IA
IA1W_15,0.015732823,-0.042961457,0.051192865,-0.002183598,-0.050505405,-0.001333198,-0.060739058,Wild,IA
IA1W_2,0.032475045,-0.048866108,0.064174466,0.0018431,-0.052598297,-0.004897645,-0.078795432,Wild,IA
IA1W_21,0.00318106,-0.047225977,0.055076576,0.003068531,-0.056495987,-0.003373825,-0.074973908,Wild,IA
IA1W_28,-0.066100169,-0.019615518,0.013685651,-0.010796453,-0.024781487,-0.001297713,-0.038125325,Wild,IA
IA1W_33,0.020326076,-0.040352017,0.048318829,0.003338025,-0.039464765,-0.00072779,-0.051855221,Wild,IA
IA1W_39,0.032356409,-0.044586391,0.056576689,0.010280189,-0.046410325,-0.000380447,-0.051642575,Wild,IA
IA1W_4,0.025275072,-0.046437854,0.0643458,0.0014374,-0.058217988,-0.002871554,-0.078381045,Wild,IA
IA1W_5,0.047897187,-0.043711085,0.055422133,0.009731924,-0.045118149,0.000277167,-0.057233948,Wild,IA
IA1W1_6_308,-0.092869861,0.007005816,-0.021789766,-0.013149756,0.01076362,0.000641072,0.002734506,Wild,IA
IA2W_11,-0.004576707,-0.03156878,0.047149539,-0.017713582,-0.03679817,-0.004252142,-0.036086479,Wild,IA
IA2W_14,-0.063170814,-0.013829318,0.010969428,-0.023988798,-0.013878806,-0.003489509,-0.018250955,Wild,IA
IA2W_16,-0.019519308,-0.02706549,0.041061475,-0.028190822,-0.034549987,-0.006523683,-0.03391191,Wild,IA
IA2W_17,-0.053865462,-0.017565262,0.018711113,-0.026338563,-0.017475544,-0.004186793,-0.020064009,Wild,IA
IA2W_29,-0.034792041,-0.022504228,0.025061348,-0.022732153,-0.025516825,-0.004807033,-0.022097396,Wild,IA
IA2W_37,-0.057666529,-0.018443748,0.016844056,-0.024445242,-0.019571583,-0.002720153,-0.022851519,Wild,IA
IA2W_37R,-0.051475565,-0.020316022,0.01867708,-0.024033854,-0.017555561,-0.003433404,-0.021023169,Wild,IA
IA2W_38,-0.002349232,-0.029608698,0.039890552,-0.02377532,-0.03540327,-0.002769197,-0.022750531,Wild,IA
IA2W_39,-0.033664874,-0.023116184,0.027183371,-0.024307293,-0.022972076,-0.002951724,-0.023706158,Wild,IA
IA2W_6,-0.064562695,-0.018841068,0.015536052,-0.021755896,-0.017220938,-0.006214584,-0.017549587,Wild,IA
IA2W_7,0.004268374,-0.035078996,0.043101298,-0.017545077,-0.033223789,-0.004501429,-0.038499511,Wild,IA
KS1W_19,-0.007915337,-0.023401177,0.035946315,-0.019244688,-0.014853468,-0.011987099,-0.004719372,Wild,KS
KS1W_2,0.013351873,-0.048640945,0.013893838,0.058459669,-0.014557004,0.006583493,-0.032441217,Wild,KS
KS1W_24,0.043475894,-0.029228273,0.054711843,-0.017032264,-0.025336315,-0.007736676,-0.008660049,Wild,KS
KS1W_26,-0.028502867,-0.014496489,0.024833732,-0.024330368,-0.011506663,-0.006089369,0.007850188,Wild,KS
KS1W_27,0.042849992,-0.025546807,0.059652034,-0.026054142,-0.027094292,-0.011085643,0.007635195,Wild,KS
KS1W_29,0.004670701,-0.023712387,0.04533255,-0.019492407,-0.020255247,-0.010482624,0.003450719,Wild,KS
KS1W_3,0.044711562,-0.022557226,0.055571598,-0.027372041,-0.024033321,-0.009109512,0.007506749,Wild,KS
KS1W_32,0.059058266,-0.036751508,0.068596798,-0.016616787,-0.026329285,-0.013617031,-0.018258129,Wild,KS
