sample_intraspecific,PC1,PC2,PC3,PC4,PC5,PC6,PC7,Pop_broad,Pop_geoLoc,Pop_geoLoc2
Arikara_122976,-0.034505905,-0.013484372,0.000104791,0.005346898,0.003502157,-0.002561584,0.004711798,Ethnographic,Ethnographic,Ethnographic
Arikara_126306,-0.064292737,-0.025703268,-0.000244,0.011423366,0.006668204,-0.003218408,0.005485852,Ethnographic,Ethnographic,Ethnographic
Arikara_14042_874,-0.067786558,-0.026951542,-0.001197073,0.012174059,0.007348318,-0.003581338,0.006609673,Ethnographic,Ethnographic,Ethnographic
Havasupai,-0.08981933,-0.061129456,0.042283342,0.035957114,-0.021036261,0.0668849,-0.101911678,Landrace,Landrace,Landrace
Hidatsa,-0.172908857,-0.096235921,0.01539214,0.049334231,0.019947409,0.02103406,-0.03169634,Landrace,Landrace,Landrace
Hopi_dye_NEW,-0.070370645,-0.050373253,0.047761141,0.030470218,-0.027404548,0.072335627,-0.111183818,Landrace,Landrace,Landrace
Hopi_mapping_NEW,-0.047000251,-0.051643594,0.055114938,0.033128893,-0.035768116,0.088199102,-0.138218888,Landrace,Landrace,Landrace
Hopi_real_NEW,-0.161769949,-0.097361155,0.020494083,0.049807313,0.017543317,0.031154829,-0.048960867,Landrace,Landrace,Landrace
IA1W_1,-0.035184709,0.044005904,0.013742074,-0.035150327,-0.058445624,0.027282879,-0.046624482,Wild,IA,IA
IA1W_11,-0.030385234,0.039008763,0.007806772,-0.033950284,-0.053538351,0.02580856,-0.051249782,Wild,IA,IA
IA1W_11R,0.030758129,0.06747368,0.018877317,-0.052049981,-0.077692508,0.056347616,-0.10776975,Wild,IA,IA
IA1W_15,0.01504206,0.061330014,0.021020544,-0.048638444,-0.070908339,0.050493029,-0.090501619,Wild,IA,IA
IA1W_2,0.031232847,0.076792093,0.023730399,-0.052481695,-0.088402393,0.056885565,-0.099643671,Wild,IA,IA
IA1W_21,0.000839028,0.065785564,0.020018479,-0.053696766,-0.085775924,0.049404144,-0.088492053,Wild,IA,IA
IA1W_28,-0.068450954,0.015539007,0.012888075,-0.024495531,-0.042982865,0.021169208,-0.04119643,Wild,IA,IA
IA1W_33,0.018701959,0.059090954,0.017516424,-0.039663219,-0.058495925,0.035169196,-0.059923512,Wild,IA,IA
IA1W_39,0.032314866,0.072162814,0.016287065,-0.045477523,-0.063570038,0.037383974,-0.068985744,Wild,IA,IA
IA1W_4,0.025351658,0.07388051,0.024991586,-0.055775995,-0.087088275,0.053313347,-0.097656108,Wild,IA,IA
IA1W_5,0.046559565,0.069954968,0.014490453,-0.043059459,-0.063473676,0.03997652,-0.077243089,Wild,IA,IA
IA1W1_6_308,-0.093824324,-0.027835228,0.001655909,0.0101859,0.003253106,-0.005285836,0.008311568,Wild,IA,IA
IA2W_11,-0.005004249,0.041403363,0.035975134,-0.038128333,-0.046101624,0.028976178,-0.040183308,Wild,IA,IA
IA2W_14,-0.06433291,0.003739724,0.023481629,-0.01386966,-0.022656346,0.007289241,-0.007377468,Wild,IA,IA
IA2W_16,-0.021495792,0.031177752,0.039941622,-0.036213528,-0.040802854,0.02267145,-0.032085283,Wild,IA,IA
IA2W_17,-0.055024954,0.010107089,0.027701934,-0.01589131,-0.023814085,0.010482444,-0.01197517,Wild,IA,IA
IA2W_29,-0.036626392,0.021428032,0.0303943,-0.022819287,-0.024939818,0.019503479,-0.021927842,Wild,IA,IA
IA2W_37,-0.058190888,0.011374613,0.025698502,-0.019349632,-0.026102946,0.013160309,-0.009743658,Wild,IA,IA
IA2W_37R,-0.053271189,0.011864552,0.023801431,-0.015682308,-0.024931657,0.008962965,-0.013095227,Wild,IA,IA
IA2W_38,-0.002331764,0.035922658,0.031922366,-0.034600276,-0.028907737,0.022757573,-0.040547031,Wild,IA,IA
IA2W_39,-0.034082551,0.021099153,0.031286777,-0.022267527,-0.02862778,0.014238037,-0.016491122,Wild,IA,IA
IA2W_6,-0.065295777,0.00880734,0.023440127,-0.017408237,-0.024023124,0.009208118,-0.004070269,Wild,IA,IA
IA2W_7,0.001840231,0.044356408,0.033057374,-0.031878447,-0.044148088,0.032630653,-0.048470506,Wild,IA,IA
KS1W_19,-0.010034801,0.032895503,0.032902309,-0.018843538,-0.005507109,0.01280104,0.008452089,Wild,KS,KS
KS1W_2,0.013133127,0.059214612,-0.048166695,-0.01355293,-0.034712795,0.000606994,-0.033191587,Wild,KS,KS
KS1W_24,0.04198366,0.050981929,0.039934092,-0.025404375,-0.01369207,0.027639926,-0.011697949,Wild,KS,KS
KS1W_26,-0.028860505,0.01516011,0.02968664,-0.011053878,0.003336095,0.002562342,0.017963715,Wild,KS,KS
KS1W_27,0.041061367,0.04817899,0.050665113,-0.027736069,0.005787925,0.025180018,-0.009721584,Wild,KS,KS
KS1W_29,0.002676215,0.038736607,0.0389654,-0.020827358,0.001088927,0.017636299,0.007012732,Wild,KS,KS
KS1W_3,0.043992415,0.041640402,0.046806396,-0.022204069,0.006565404,0.017621407,-0.017725328,Wild,KS,KS
KS1W_32,0.058562937,0.063972099,0.044685306,-0.029923337,-0.022735134,0.038762101,-0.022318987,Wild,KS,KS
KS1W_35,0.056907515,0.059184382,0.036143887,-0.026650316,-0.025426035,0.035944975,-0.022770803,Wild,KS,KS
KS1W_40,-0.048860437,0.000755392,0.02332317,0.002861674,0.00741442,-0.003799046,0.02185512,Wild,KS,KS
